,city,country,date,latitude,longitude,Maxtemperature,humidity,cloudiness,wind_speed
122,salinas,US,1533656160,36.67,-121.66,62.6,100.0,90.0,2.68
123,yellowknife,CA,1533654000,62.45,-114.38,59.0,77.0,75.0,11.41
124,camacha,PT,1533657514,33.08,-16.33,72.47,99.0,36.0,21.47
125,puerto maldonado,PE,1533654000,-12.59,-69.19,68.0,88.0,75.0,4.7
126,gurskoye,,,,,,,,
127,biak,ID,1533657515,-0.91,122.88,74.27,100.0,36.0,4.92
128,ponta do sol,BR,1533657515,-20.63,-46,69.5,80.0,44.0,4.59
129,saint combs,,,,,,,,
130,oinoi,GR,1533657515,38.32,23.61,87.5,37.0,0.0,8.5
131,bairiki,,,,,,,,
132,isangel,VU,1533657516,-19.55,169.27,72.2,100.0,0.0,10.4
133,palembang,ID,1533657516,-2.99,104.76,81.38,65.0,8.0,7.72
134,mwinilunga,ZM,1533657516,-11.73,24.43,82.55,20.0,0.0,4.7
135,grandview,US,1533656100,38.89,-94.53,73.4,94.0,75.0,6.93
136,flinders,AU,1533657517,-34.58,150.85,48.98,72.0,0.0,8.95
137,vao,EE,1533657517,59.1,26.19,68.24,56.0,0.0,7.94
138,saldanha,PT,1533657517,41.42,-6.55,81.38,44.0,0.0,9.28
139,leningradskiy,RU,1533657517,69.38,178.42,34.13,100.0,88.0,20.02
140,arman,RU,1533657518,59.7,150.17,50.42,99.0,92.0,2.68
141,moose jaw,CA,1533654000,50.4,-105.54,77.0,44.0,40.0,8.05
142,alexandria,US,1533656100,31.31,-92.44,84.2,79.0,75.0,4.14
143,chegdomyn,RU,1533657518,51.13,133.04,59.87,81.0,80.0,3.24
144,caraz,PE,1533657518,-9.05,-77.81,68.51,30.0,0.0,1.57
145,kamenka,RU,1533657519,53.19,44.05,76.79,52.0,68.0,8.72
146,bastia,IT,1533657519,44.6,8.98,82.1,62.0,48.0,4.03
147,sawtell,AU,1533657519,-30.38,153.1,52.67,99.0,0.0,7.27
148,potsdam,DE,1533657222,52.4,13.06,94.52,26.0,20.0,5.26
149,sabang,PH,1533657520,13.72,123.58,79.31,97.0,92.0,8.16
150,altay,CN,1533657520,47.83,88.13,52.85,73.0,0.0,0.45
151,naantali,FI,1533657520,60.45,22.03,71.75,37.0,0.0,6.93
152,jiddah,,,,,,,,
153,carnarvon,ZA,1533657521,-30.97,22.13,43.58,38.0,8.0,7.49
154,makat,KZ,1533657521,47.65,53.35,95.42,17.0,32.0,9.51
155,buta,CD,1533657521,2.79,24.73,78.32,88.0,68.0,3.13
156,san rafael,AR,1533653400,-34.61,-68.33,57.2,10.0,80.0,23.04
157,kodiak,US,1533656400,39.95,-94.76,73.4,94.0,90.0,4.7
158,tual,ID,1533657523,-5.67,132.75,78.32,100.0,92.0,13.31
159,kapaa,US,1533653760,22.08,-159.32,78.8,83.0,75.0,14.99
160,mackay,CA,1533654960,53.65,-115.58,60.8,59.0,75.0,6.93
161,haflong,IN,1533657524,25.18,93.03,77.51,87.0,36.0,2.01
162,aksha,RU,1533657524,50.28,113.29,57.35,84.0,20.0,2.8
163,lagoa,PT,1533657524,37.14,-8.45,85.79,43.0,0.0,11.52
164,goderich,CA,1533657525,43.74,-81.71,70.67,100.0,80.0,6.71
165,albany,US,1533657060,42.65,-73.75,87.8,58.0,75.0,6.93
166,naryan-mar,RU,1533657526,67.67,53.09,55.28,69.0,88.0,9.4
167,rundu,NA,1533657526,-17.91,19.77,92.63,13.0,0.0,6.6
168,atambua,ID,1533657526,-9.11,124.89,76.34,99.0,0.0,10.07
